Index,Serial Number,IMEI,Verizon ICCID,Onomondo ICCID,Timestamp
1,04W5,359746161665661,89148000009808568770,89457300000035348385,2025-07-25 20:34:12
2,04WA,359746161665463,89148000009808569083,89457300000035348013,2025-07-30 21:47:29
3,04W9,359746161664862,89148000009808569760,89457300000035350431,2025-07-30 23:36:22
4,04WB,359746161665000,89148000009808569539,89457300000035347510,2025-07-25 04:40:49
5,04WC,359746161665364,89148000009808569265,89457300000035347858,2025-07-25 18:45:36
6,0504,359746161665414,89148000009808569166,89457300000035347932,2025-07-28 17:27:06
7,04ZR,359746161664573,89148000009808569752,89457300000035350381,2025-07-28 17:30:44
8,0505,359746161664888,89148000009808569471,89457300000035347676,2025-07-28 17:33:53
9,0507,359746161664268,89148000009808570115,89457300000035349854,2025-07-28 17:45:15
10,0509,359746161664987,89148000009808569513,89457300000035347585,2025-07-28 18:08:40
11,0503,359746161665562,89148000009808569349,89457300000035347791,2025-07-28 18:10:55
12,04ZZ,359746161664995,89148000009808569521,89457300000035347569,2025-07-28 19:11:27
13,0500,359746161664508,89148000009808570149,89457300000035349920,2025-07-28 19:08:04
14,04ZY,359746161664672,89148000009808569927,89457300000035350175,2025-07-28 18:20:04
15,0502,359746161665968,89148000009808568648,89457300000035348443,2025-07-28 18:22:12
16,04ZV,359746161664375,89148000009808570222,89457300000035349862,2025-07-28 18:24:45
17,04ZU,359746161666008,89148000009808568630,89457300000035348450,2025-07-28 18:27:43
18,04ZT,359746161665117,89148000009808569554,89457300000035347551,2025-07-30 23:18:37
19,04ZS,359746161665489,89148000009808569372,89457300000035347700,2025-07-28 18:32:40
20,0501,359746161665372,89148000009808569224,89457300000035347924,2025-07-28 18:34:58
21,050J,359746161664383,89148000009808570099,89457300000035350084,2025-07-28 20:33:09
22,050A,359746161664904,89148000009808569414,89457300000035347635,2025-07-28 20:36:23
23,050K,359746161664714,89148000009808569950,89457300000035350126,2025-07-28 20:44:04
24,050C,359746161665588,89148000009808569190,89457300000035347866,2025-07-28 20:46:46
25,050E,359746161665471,89148000009808569182,89457300000035347882,2025-07-28 20:49:41
26,050G,359746161666040,89148000009808568663,89457300000035348435,2025-07-28 20:52:00
27,050B,359746161665406,89148000009808569257,89457300000035347825,2025-07-28 20:55:52
28,050D,359746161664755,89148000009808569919,89457300000035350167,2025-07-29 01:50:07
29,050F,359746161665240,89148000009808569315,89457300000035347726,2025-07-28 21:00:09
30,050M,359746161664003,89148000009808570131,89457300000035349979,2025-07-28 21:05:03
31,050N,359746161664342,89148000009808570198,89457300000035349904,2025-07-28 21:06:51
32,050O,359746161664615,89148000009808570180,89457300000035349961,2025-07-28 21:08:43
33,050H,359746161663922,89148000009808570172,89457300000035349946,2025-07-28 21:14:26
34,050I,359746161666222,89148000009808568655,89457300000035348427,2025-07-28 21:16:28
35,04Z7,359746161665737,89148000009808568853,89457300000035348229,2025-07-28 21:20:29
36,04ZE,359746161664680,89148000009808569745,89457300000035350399,2025-07-28 21:24:37
37,04ZF,359746161665620,89148000009808569299,89457300000035347734,2025-07-28 21:25:48
38,04Z8,359746161665232,89148000009808569364,89457300000035347775,2025-07-30 23:39:31
39,04ZG,359746161664425,89148000009808570107,89457300000035349995,2025-07-28 21:30:11
40,04Z6,359746161664938,89148000009808569588,89457300000035347528,2025-07-28 21:32:05
41,04Z5,359746161664813,89148000009808569893,89457300000035350191,2025-07-28 21:34:28
42,04ZC,359746161665273,89148000009808569455,89457300000035347601,2025-07-28 21:36:37
43,04ZH,359746161664441,89148000009808570214,89457300000035349870,2025-07-28 21:38:30
44,04Z9,359746161664870,89148000009808569844,89457300000035350241,2025-07-28 21:40:19
45,04ZB,359746161664524,89148000009808570164,89457300000035349912,2025-07-28 21:42:10
46,04ZX,359746161664623,89148000009808569786,89457300000035350324,2025-07-30 23:27:31
47,04ZA,359746161665612,89148000009808569174,89457300000035347908,2025-07-28 21:45:55
48,04ZI,359746161664771,89148000009808569968,89457300000035350134,2025-07-28 21:47:50
49,04ZK,359746161664789,89148000009808569935,89457300000035350118,2025-07-28 21:58:17
50,04ZL,359746161665299,89148000009808569562,89457300000035347544,2025-07-28 22:00:44
51,04ZJ,359746161664433,89148000009808570123,89457300000035350001,2025-07-30 23:25:02
52,04ZP,359746161665398,89148000009808569232,89457300000035347916,2025-07-28 22:05:37
53,04ZN,359746161664359,89148000009808570057,89457300000035350076,2025-07-28 22:08:35
54,04ZW,359746161665182,89148000009808569430,89457300000035347627,2025-07-28 22:10:29
55,04ZO,359746161665315,89148000009808569240,89457300000035347841,2025-07-28 22:12:59
56,04ZM,359746161665257,89148000009808569356,89457300000035347783,2025-07-28 22:14:47
57,04ZQ,359746161664953,89148000009808570230,89457300000035349896,2025-07-28 22:35:29
58,04WL,359746161664805,89148000009808569661,89457300000035350415,2025-07-28 22:37:42
59,04WT,359746161665422,89148000009808569133,89457300000035347957,2025-07-28 22:39:39
60,04W6,359746161664656,89148000009808569687,89457300000035350373,2025-07-28 22:41:43
61,04W7,359746161664664,89148000009808569943,89457300000035350100,2025-07-28 22:43:34
62,04WD,359746161665174,89148000009808569307,89457300000035347718,2025-07-28 22:45:39
63,04WE,359746161664490,89148000009808570081,89457300000035350068,2025-07-28 22:47:55
64,04W8,359746161664730,89148000009808569901,89457300000035350209,2025-07-28 22:51:24
65,04WG,359746161665869,89148000009808568879,89457300000035348211,2025-07-28 22:53:24
66,04WI,359746161665810,89148000009808568762,89457300000035348344,2025-07-28 22:58:57
67,04WH,359746161665091,89148000009808569877,89457300000035350308,2025-07-29 00:37:41
68,04WK,359746161665687,89148000009808568713,89457300000035348328,2025-07-29 00:44:38
69,04WM,359746161665349,89148000009808569109,89457300000035348021,2025-07-29 00:46:38
70,04X4,359746161665430,89148000009808569018,89457300000035348062,2025-07-29 00:48:47
