goos: linux
goarch: arm64
pkg: github.com/gophersys/libs/go/dependencies
BenchmarkResolveZero-8      	59604375	        23.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkResolveZero-8      	51941024	        24.99 ns/op	      16 B/op	       1 allocs/op
BenchmarkResolveZero-8      	44523390	        27.05 ns/op	      16 B/op	       1 allocs/op
BenchmarkResolveZero-8      	44723205	        26.55 ns/op	      16 B/op	       1 allocs/op
BenchmarkResolveZero-8      	46609483	        25.97 ns/op	      16 B/op	       1 allocs/op
BenchmarkResolveZero-8      	49307299	        26.65 ns/op	      16 B/op	       1 allocs/op
BenchmarkResolveZero-8      	42817701	        27.70 ns/op	      16 B/op	       1 allocs/op
BenchmarkResolveZero-8      	51213837	        26.39 ns/op	      16 B/op	       1 allocs/op
BenchmarkResolveZero-8      	47008971	        25.97 ns/op	      16 B/op	       1 allocs/op
BenchmarkResolveZero-8      	50692711	        26.01 ns/op	      16 B/op	       1 allocs/op
BenchmarkResolveWired-8     	589450796	         2.021 ns/op	       0 B/op	       0 allocs/op
BenchmarkResolveWired-8     	597977588	         2.008 ns/op	       0 B/op	       0 allocs/op
BenchmarkResolveWired-8     	598343336	         1.999 ns/op	       0 B/op	       0 allocs/op
BenchmarkResolveWired-8     	599780452	         1.996 ns/op	       0 B/op	       0 allocs/op
BenchmarkResolveWired-8     	597155422	         2.001 ns/op	       0 B/op	       0 allocs/op
BenchmarkResolveWired-8     	603272122	         1.991 ns/op	       0 B/op	       0 allocs/op
BenchmarkResolveWired-8     	602756858	         1.992 ns/op	       0 B/op	       0 allocs/op
BenchmarkResolveWired-8     	602785117	         1.985 ns/op	       0 B/op	       0 allocs/op
BenchmarkResolveWired-8     	604431361	         2.015 ns/op	       0 B/op	       0 allocs/op
BenchmarkResolveWired-8     	604380753	         1.987 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate-8         	561767286	         2.065 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate-8         	595778660	         2.014 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate-8         	596141473	         2.015 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate-8         	596210956	         2.013 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate-8         	596474462	         2.010 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate-8         	595832523	         2.009 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate-8         	596740180	         2.011 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate-8         	596494597	         2.012 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate-8         	598607736	         2.010 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidate-8         	595455312	         2.008 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealRandomRead-8   	12545947	        95.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealRandomRead-8   	13434771	        89.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealRandomRead-8   	12407605	        95.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealRandomRead-8   	13514737	        89.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealRandomRead-8   	12609528	        94.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealRandomRead-8   	13269516	        88.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealRandomRead-8   	12569985	        95.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealRandomRead-8   	13578135	        88.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealRandomRead-8   	12646327	        96.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealRandomRead-8   	13566079	        88.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealClockNow-8     	33834387	        34.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealClockNow-8     	35570529	        33.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealClockNow-8     	35680879	        33.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealClockNow-8     	35362154	        33.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealClockNow-8     	35503876	        33.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealClockNow-8     	34935387	        33.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealClockNow-8     	35529368	        33.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealClockNow-8     	35520472	        33.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealClockNow-8     	35504883	        33.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealClockNow-8     	35495958	        33.78 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/gophersys/libs/go/dependencies	60.581s
PASS
ok  	github.com/gophersys/libs/go/dependencies/dependenciestest	0.002s
