goos: linux
goarch: arm64
pkg: github.com/gophersys/libs/go/gitrepository
BenchmarkNew-8               	 1443307	       821.0 ns/op	     592 B/op	       4 allocs/op
BenchmarkNew-8               	 1469752	       819.3 ns/op	     592 B/op	       4 allocs/op
BenchmarkNew-8               	 1486618	       804.5 ns/op	     592 B/op	       4 allocs/op
BenchmarkNew-8               	 1531137	       791.2 ns/op	     592 B/op	       4 allocs/op
BenchmarkNew-8               	 1530831	       786.6 ns/op	     592 B/op	       4 allocs/op
BenchmarkNew-8               	 1454500	       834.4 ns/op	     592 B/op	       4 allocs/op
BenchmarkNew-8               	 1430488	       827.1 ns/op	     592 B/op	       4 allocs/op
BenchmarkNew-8               	 1508600	       804.0 ns/op	     592 B/op	       4 allocs/op
BenchmarkNew-8               	 1526275	       760.1 ns/op	     592 B/op	       4 allocs/op
BenchmarkNew-8               	 1693950	       714.8 ns/op	     592 B/op	       4 allocs/op
BenchmarkParseBranchName-8   	  917348	      1376 ns/op	     240 B/op	       8 allocs/op
BenchmarkParseBranchName-8   	  966302	      1353 ns/op	     240 B/op	       8 allocs/op
BenchmarkParseBranchName-8   	  931444	      1357 ns/op	     240 B/op	       8 allocs/op
BenchmarkParseBranchName-8   	  966452	      1348 ns/op	     240 B/op	       8 allocs/op
BenchmarkParseBranchName-8   	  898048	      1357 ns/op	     240 B/op	       8 allocs/op
BenchmarkParseBranchName-8   	  945184	      1363 ns/op	     240 B/op	       8 allocs/op
BenchmarkParseBranchName-8   	  906172	      1361 ns/op	     240 B/op	       8 allocs/op
BenchmarkParseBranchName-8   	  898242	      1347 ns/op	     240 B/op	       8 allocs/op
BenchmarkParseBranchName-8   	  891730	      1394 ns/op	     240 B/op	       8 allocs/op
BenchmarkParseBranchName-8   	  844774	      1597 ns/op	     240 B/op	       8 allocs/op
BenchmarkCommitIDFromHex-8   	 1700953	       698.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkCommitIDFromHex-8   	 1688948	       705.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkCommitIDFromHex-8   	 1652810	       711.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkCommitIDFromHex-8   	 1807462	       668.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkCommitIDFromHex-8   	 1474870	       779.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkCommitIDFromHex-8   	 1718994	       688.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkCommitIDFromHex-8   	 1766754	       681.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkCommitIDFromHex-8   	 1798656	       668.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkCommitIDFromHex-8   	 1774340	       718.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkCommitIDFromHex-8   	 1407910	       823.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkWrapAndClassify-8   	 1524836	       821.9 ns/op	     504 B/op	      13 allocs/op
BenchmarkWrapAndClassify-8   	 1586576	       766.3 ns/op	     504 B/op	      13 allocs/op
BenchmarkWrapAndClassify-8   	 1499686	       818.3 ns/op	     504 B/op	      13 allocs/op
BenchmarkWrapAndClassify-8   	 1184055	       994.6 ns/op	     504 B/op	      13 allocs/op
BenchmarkWrapAndClassify-8   	 1310971	       921.9 ns/op	     504 B/op	      13 allocs/op
BenchmarkWrapAndClassify-8   	 1454605	       792.6 ns/op	     504 B/op	      13 allocs/op
BenchmarkWrapAndClassify-8   	 1469697	       791.4 ns/op	     504 B/op	      13 allocs/op
BenchmarkWrapAndClassify-8   	 1606060	       742.7 ns/op	     504 B/op	      13 allocs/op
BenchmarkWrapAndClassify-8   	 1628740	       743.1 ns/op	     504 B/op	      13 allocs/op
BenchmarkWrapAndClassify-8   	 1660398	       729.8 ns/op	     504 B/op	      13 allocs/op
PASS
ok  	github.com/gophersys/libs/go/gitrepository	48.708s
PASS
ok  	github.com/gophersys/libs/go/gitrepository/gitrepositorytest	0.006s
