goos: linux
goarch: arm64
pkg: github.com/gophersys/libs/go/secrets
BenchmarkParseReference-8    	13579082	        89.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseReference-8    	18704662	        87.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseReference-8    	17627162	        65.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseReference-8    	17564010	        71.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseReference-8    	16985515	        67.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseReference-8    	19169175	        63.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseReference-8    	18388173	        70.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseReference-8    	15054588	        77.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseReference-8    	16205138	        72.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseReference-8    	20180955	        59.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkReferenceScheme-8   	71917834	        14.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkReferenceScheme-8   	73037580	        15.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkReferenceScheme-8   	76140517	        18.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkReferenceScheme-8   	59583201	        19.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkReferenceScheme-8   	71857900	        15.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkReferenceScheme-8   	65142132	        17.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkReferenceScheme-8   	66113272	        17.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkReferenceScheme-8   	59151895	        19.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkReferenceScheme-8   	75050227	        18.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkReferenceScheme-8   	58198544	        19.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkMintSecret-8        	 5113960	       235.0 ns/op	     112 B/op	       2 allocs/op
BenchmarkMintSecret-8        	 5049307	       225.9 ns/op	     112 B/op	       2 allocs/op
BenchmarkMintSecret-8        	 4449807	       225.8 ns/op	     112 B/op	       2 allocs/op
BenchmarkMintSecret-8        	 4942268	       237.8 ns/op	     112 B/op	       2 allocs/op
