goos: linux
goarch: arm64
pkg: github.com/gophersys/libs/go/orchestrator
BenchmarkSpawn-8                     	  597897	      2021 ns/op	    2248 B/op	      12 allocs/op
BenchmarkSpawn-8                     	  550066	      2044 ns/op	    2248 B/op	      12 allocs/op
BenchmarkSpawn-8                     	  530937	      2049 ns/op	    2248 B/op	      12 allocs/op
BenchmarkSpawn-8                     	  588571	      2069 ns/op	    2248 B/op	      12 allocs/op
BenchmarkSpawn-8                     	  591888	      2040 ns/op	    2248 B/op	      12 allocs/op
BenchmarkSpawn-8                     	  531951	      2037 ns/op	    2248 B/op	      12 allocs/op
BenchmarkSpawn-8                     	  573589	      2035 ns/op	    2248 B/op	      12 allocs/op
BenchmarkSpawn-8                     	  592524	      2037 ns/op	    2248 B/op	      12 allocs/op
BenchmarkSpawn-8                     	  593288	      2037 ns/op	    2248 B/op	      12 allocs/op
BenchmarkSpawn-8                     	  621235	      2026 ns/op	    2248 B/op	      12 allocs/op
BenchmarkReconcileConverged-8        	  230686	      5192 ns/op	   17496 B/op	       7 allocs/op
BenchmarkReconcileConverged-8        	  243439	      4900 ns/op	   17496 B/op	       7 allocs/op
BenchmarkReconcileConverged-8        	  246876	      4941 ns/op	   17496 B/op	       7 allocs/op
BenchmarkReconcileConverged-8        	  250123	      4945 ns/op	   17496 B/op	       7 allocs/op
BenchmarkReconcileConverged-8        	  245430	      5027 ns/op	   17496 B/op	       7 allocs/op
BenchmarkReconcileConverged-8        	  224698	      5061 ns/op	   17496 B/op	       7 allocs/op
BenchmarkReconcileConverged-8        	  260436	      4848 ns/op	   17496 B/op	       7 allocs/op
BenchmarkReconcileConverged-8        	  220741	      5089 ns/op	   17496 B/op	       7 allocs/op
BenchmarkReconcileConverged-8        	  241957	      5112 ns/op	   17496 B/op	       7 allocs/op
BenchmarkReconcileConverged-8        	  244063	      5134 ns/op	   17496 B/op	       7 allocs/op
BenchmarkReconcileProvision-8        	  177973	      7359 ns/op	    6528 B/op	      61 allocs/op
BenchmarkReconcileProvision-8        	  156574	      8601 ns/op	    6528 B/op	      61 allocs/op
BenchmarkReconcileProvision-8        	  155422	      7847 ns/op	    6528 B/op	      61 allocs/op
BenchmarkReconcileProvision-8        	  154803	      7738 ns/op	    6528 B/op	      61 allocs/op
BenchmarkReconcileProvision-8        	  153902	      7476 ns/op	    6528 B/op	      61 allocs/op
BenchmarkReconcileProvision-8        	  148832	      7363 ns/op	    6528 B/op	      61 allocs/op
BenchmarkReconcileProvision-8        	  148225	      7153 ns/op	    6528 B/op	      61 allocs/op
BenchmarkReconcileProvision-8        	  155414	      7342 ns/op	    6528 B/op	      61 allocs/op
BenchmarkReconcileProvision-8        	  141402	      7144 ns/op	    6528 B/op	      61 allocs/op
BenchmarkReconcileProvision-8        	  139011	      7603 ns/op	    6528 B/op	      61 allocs/op
BenchmarkStatusString-8              	674278521	         1.663 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatusString-8              	720758415	         1.639 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatusString-8              	733967022	         1.635 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatusString-8              	733997702	         1.635 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatusString-8              	733241983	         1.635 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatusString-8              	734278971	         1.634 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatusString-8              	734602236	         1.634 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatusString-8              	734129420	         1.639 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatusString-8              	731681104	         1.635 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatusString-8              	734023146	         1.635 ns/op	       0 B/op	       0 allocs/op
BenchmarkObservabilityKindString-8   	734187810	         1.634 ns/op	       0 B/op	       0 allocs/op
BenchmarkObservabilityKindString-8   	733935415	         1.635 ns/op	       0 B/op	       0 allocs/op
BenchmarkObservabilityKindString-8   	734126240	         1.635 ns/op	       0 B/op	       0 allocs/op
BenchmarkObservabilityKindString-8   	733700198	         1.635 ns/op	       0 B/op	       0 allocs/op
BenchmarkObservabilityKindString-8   	734061685	         1.636 ns/op	       0 B/op	       0 allocs/op
BenchmarkObservabilityKindString-8   	734111833	         1.635 ns/op	       0 B/op	       0 allocs/op
BenchmarkObservabilityKindString-8   	734153372	         1.636 ns/op	       0 B/op	       0 allocs/op
BenchmarkObservabilityKindString-8   	733974316	         1.639 ns/op	       0 B/op	       0 allocs/op
BenchmarkObservabilityKindString-8   	734681882	         1.634 ns/op	       0 B/op	       0 allocs/op
BenchmarkObservabilityKindString-8   	734319038	         1.634 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/gophersys/libs/go/orchestrator	560.810s
PASS
ok  	github.com/gophersys/libs/go/orchestrator/orchestratortest	0.024s
